행정구역,2015년_계_총인구수,2015년_계_연령구간인구수,2015년_계_7세,2015년_계_8세,2015년_계_9세,2015년_계_10세,2015년_계_11세,2015년_계_12세
전국  (0000000000),51529338 ,2818483 ,468546 ,495761 ,449663 ,436313 ,474284 ,493916 
서울특별시  (1100000000),10022181 ,475468 ,78271 ,82452 ,75752 ,73327 ,81332 ,84334 
부산광역시  (2600000000),3513777 ,160389 ,26404 ,28002 ,25128 ,24795 ,27192 ,28868 
대구광역시  (2700000000),2487829 ,133830 ,21367 ,23033 ,20892 ,20976 ,22742 ,24820 
인천광역시  (2800000000),2925815 ,162566 ,27290 ,29115 ,25832 ,25093 ,26829 ,28407 
광주광역시  (2900000000),1472199 ,93440 ,15067 ,16287 ,14747 ,14375 ,15805 ,17159 
대전광역시  (3000000000),1518775 ,90945 ,14926 ,15898 ,14501 ,14044 ,15513 ,16063 
울산광역시  (3100000000),1173534 ,67482 ,11506 ,12112 ,10701 ,10396 ,11065 ,11702 
세종특별자치시  (3600000000),210884 ,16670 ,3121 ,3032 ,2731 ,2551 ,2638 ,2597 
경기도  (4100000000),12522606 ,767133 ,129486 ,135697 ,123892 ,117997 ,128098 ,131963 
강원도  (4200000000),1549507 ,80642 ,12742 ,13988 ,12690 ,12952 ,13924 ,14346 
충청북도  (4300000000),1583952 ,87111 ,14435 ,15401 ,13852 ,13537 ,14791 ,15095 
충청남도  (4400000000),2077649 ,118389 ,20125 ,21097 ,19205 ,18330 ,19674 ,19958 
전라북도  (4500000000),1869711 ,103116 ,16738 ,17879 ,16211 ,16327 ,17581 ,18380 
전라남도  (4600000000),1908996 ,97428 ,15861 ,17055 ,15532 ,15168 ,16600 ,17212 
경상북도  (4700000000),2702826 ,132784 ,22137 ,23376 ,21117 ,20871 ,22069 ,23214 
경상남도  (4800000000),3364702 ,191041 ,32567 ,34267 ,30336 ,29281 ,31808 ,32782 
제주특별자치도  (5000000000),624395 ,40049 ,6503 ,7070 ,6544 ,6293 ,6623 ,7016 
